"region","city","lat","lng","total_2016","median_income","percent_pop_aian","percent_pop_change","percent_pop_poverty","comm_pcnt_initial","comm_age_change_1980_2016","subs_year","subs_percent_households_harvesting","subs_percent_households_using","subs_lbs_per_capita_harvest","pu_lbs_harvested","pu_lbs_per_capita","sport_license_per_capita"
"Bristol Bay","Pilot Point",57.5641667,-157.5791667,49,NA,0.938775510204082,-0.257575757575758,0.387755102040816,-0.727272727272727,22,2014,60,100,156.5136,NA,NA,0.714285714285714
"Yukon","Pilot Station",61.9388889,-162.875,600,32750,1,0.846153846153846,0.438333333333333,0.145833333333333,-1,2013,36.2,94.7,42.91676,NA,NA,0.138333333333333
"Yukon","Pitkas Point",62.0327778,-163.2877778,128,48750,1,0.454545454545455,0.1484375,-1,NA,NA,NA,NA,NA,NA,NA,0.0078125
"Kuskokwim","Platinum",59.0130556,-161.8163889,28,41250,1,-0.490909090909091,0.0357142857142857,0,-8,NA,NA,NA,NA,0,0,0.464285714285714
"Yukon","Pleasant Valley",64.8813889,-146.8686111,136,69205,0,NA,0.132352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Point Baker",56.3527778,-133.6211111,37,NA,0,-0.588888888888889,0.810810810810811,-0.642857142857143,5.5,1996,68.8,100,82.42,NA,NA,0.513513513513513
"Kotzebue","Point Hope",68.3486111,-166.7347222,604,60208,0.945364238410596,0.301724137931034,0.172185430463576,NA,NA,2014,60,91.4,39.68623,183.89,0.304453642384106,0.043046357615894
"Arctic","Point Lay",69.743857,-163.008442,306,59375,0.892156862745098,3.5,0.235294117647059,NA,NA,2012,28.57143,61.90476,33.71461,NA,NA,0.0620915032679739
"Cook Inlet","Point MacKenzie",61.3597222,-149.9783333,600,80417,0.293333333333333,NA,0.0183333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Point Possession",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Bay","Pope-Vannoy Landing",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Bay","Portage Creek",58.9061111,-157.7175,0,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Port Alexander",56.2497222,-134.6444444,42,64500,0,-0.511627906976744,0,-0.384615384615385,16,1987,71.1,94.3,69.92,NA,NA,1.42857142857143
"Bristol Bay","Port Alsworth",60.2025,-154.3127778,156,79375,0.102564102564103,NA,0.0256410256410256,0.5,-10.5,2004,81.8,100,89,4.19,0.0268589743589744,0.826923076923077
"Norton Sound","Port Clarence",65.2622222,-166.8458333,43,NA,0,0.482758620689655,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Port Graham",59.3513889,-151.8297222,197,31667,0.908629441624365,0.22360248447205,0.203045685279188,-0.722222222222222,11,2014,65.9,97.6,107.5487,NA,NA,0.0710659898477157
"Alaska Peninsula and Aleutian Islands","Port Heiden",56.9325614,-158.6249699,73,48750,0.73972602739726,-0.206521739130435,0,-0.529411764705882,15,1987,81.1,91.1,85.11,8.39,0.114931506849315,0.808219178082192
"Kodiak","Port Lions",57.8675,-152.8822222,240,54375,0.666666666666667,0.116279069767442,0.204166666666667,-0.0714285714285714,9.5,2005,71.4,96.4,154,NA,NA,0.4125
"Southeast","Port Protection",56.3172222,-133.5980556,44,NA,0,NA,0.727272727272727,NA,NA,1996,80,96,58.84,NA,NA,0.0681818181818182
"Cook Inlet","Primrose",NA,NA,105,NA,0.219047619047619,NA,0.0571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctic","Prudhoe Bay",70.2552778,-148.3372222,2530,NA,0.103162055335968,49.6,0.025296442687747,NA,NA,NA,NA,NA,NA,40.62,0.0160553359683794,0.00158102766798419
"Kuskokwim","Quinhagak",59.7488889,-161.9158333,729,35781,0.924554183813443,0.769417475728155,0.330589849108368,-0.0705882352941176,5,2013,71.6,94.5,102.8374,NA,NA,0.128943758573388
"Yukon","Rampart",65.505,-150.17,10,NA,1,-0.8,0,-0.857142857142857,36,2014,71.4,100,230.5524,NA,NA,0.7
"Kuskokwim","Red Devil",61.7611111,-157.3125,33,48750,0.696969696969697,-0.153846153846154,0.212121212121212,NA,NA,2009,72.72727,100,141.7301,NA,NA,0.363636363636364
"Kotzebue","Red Dog Mine",68.0755556,-162.8561111,76,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Ridgeway",60.5319444,-151.0852778,2338,108409,0.105218135158255,NA,0.129597946963216,NA,NA,NA,NA,NA,NA,NA,NA,NA
