"region","city","lat","lng","total_2016","median_income","percent_pop_aian","percent_pop_change","percent_pop_poverty","comm_pcnt_initial","comm_age_change_1980_2016","subs_year","subs_percent_households_harvesting","subs_percent_households_using","subs_lbs_per_capita_harvest","pu_lbs_harvested","pu_lbs_per_capita","sport_license_per_capita"
"Alaska Peninsula and Aleutian Islands","Adak",51.88,-176.6580556,122,75000,0.0983606557377049,NA,0.368852459016393,NA,NA,NA,NA,NA,NA,NA,NA,0.0901639344262295
"Kodiak","Akhiok",56.9455556,-154.1702778,74,25000,0.932432432432432,-0.295238095238095,0.297297297297297,0.2,9,2004,100,100,121.9,NA,NA,0.243243243243243
"Kuskokwim","Akiachak",60.9094444,-161.4313889,584,32917,0.958904109589041,0.333333333333333,0.297945205479452,0.738095238095238,9.5,1998,87.7,97.5,649.15,40.62,0.0695547945205479,0.272260273972603
"Kuskokwim","Akiak",60.9122222,-161.2138889,407,41563,0.987714987714988,1.05555555555556,0.388206388206388,-0.25,23.5,2010,66.66666,95.2381,291.9764,NA,NA,0.162162162162162
"Alaska Peninsula and Aleutian Islands","Akutan",54.1355556,-165.7730556,782,24464,0.127877237851662,3.62721893491124,0.166240409207161,NA,NA,2008,58.3,88.9,146.222,NA,NA,0.0370843989769821
"Yukon","Alakanuk",62.6888889,-164.6152778,737,32000,0.937584803256445,0.411877394636015,0.431478968792402,-0.221052631578947,6.5,1980,100,NA,197.57,NA,NA,0.207598371777476
"Yukon","Alatna",66.5638889,-152.6666667,1,NA,1,NA,0,NA,NA,2011,33.33333,50,27.32397,NA,NA,NA
"Yukon","Alcan Border",NA,NA,36,NA,0.138888888888889,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Bay","Aleknagik",59.2730556,-158.6177778,189,40833,0.899470899470899,0.227272727272727,0.142857142857143,-0.703703703703704,12.5,2008,87.5,100,143.3626,NA,NA,0.455026455026455
"Kodiak","Aleneva",58.06,-152.9097222,45,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Allakaket",66.5655556,-152.6455556,105,27344,0.752380952380952,-0.355828220858896,0.104761904761905,NA,NA,2011,35.71429,66.66666,151.8305,0,0,0.314285714285714
"Kotzebue","Ambler",67.0861111,-157.8513889,295,41429,0.955932203389831,0.536458333333333,0.230508474576271,-0.5,4.5,2012,39.6,67.9,35.73885,391.81,1.32816949152542,0.145762711864407
"Arctic","Anaktuvuk Pass",68.1433333,-151.7358333,273,54375,0.908424908424908,0.344827586206897,0.256410256410256,NA,NA,2014,1.9,41.5,0.7115293,440.97,1.61527472527473,0.120879120879121
"Cook Inlet","Anchorage",61.2180556,-149.9002778,299321,80862,0.115314328095924,0.715985117324329,0.0790188459880864,0.22972972972973,14,NA,NA,NA,NA,912035.6,3.04701507745865,0.221989102000862
"Cook Inlet","Anchor Point",59.7766667,-151.8313889,2018,54855,0.068384539147671,7.92920353982301,0.0847373637264618,-0.184210526315789,22,NA,NA,NA,NA,9865.03,4.88851833498513,0.546580773042616
"Yukon","Anderson",64.3441667,-149.1869444,168,90000,0.0892857142857143,-0.67504835589942,0,NA,NA,2015,40,74,36.72869,301.58,1.79511904761905,0.30952380952381
"Southeast","Angoon",57.5033333,-134.5838889,448,27250,0.544642857142857,-0.0365591397849462,0.234375,-0.841269841269841,3.5,2012,64.7,92.2,37.2,NA,NA,0.366071428571429
"Kuskokwim","Aniak",61.5783333,-159.5222222,526,59464,0.798479087452472,0.542521994134897,0.239543726235741,0.666666666666667,26.5,2009,77.30496,91.48936,190.045,NA,NA,0.355513307984791
"Yukon","Anvik",62.6561111,-160.2066667,86,21875,1,-0.245614035087719,0.244186046511628,4,27,2011,79.17,100,231.7781,NA,NA,0.418604651162791
"Yukon","Arctic Village",68.1269444,-145.5377778,137,25000,0.91970802919708,0.234234234234234,0.45985401459854,NA,NA,NA,NA,NA,NA,84.01,0.613211678832117,0.0364963503649635
"Alaska Peninsula and Aleutian Islands","Atka",52.1961111,-174.2005556,51,57500,0.666666666666667,-0.451612903225806,0.0196078431372549,-1,NA,1994,78.6,96.4,94.8,NA,NA,0.196078431372549
"Kuskokwim","Atmautluak",60.8669444,-162.2730556,231,NA,1,0.0547945205479452,0.346320346320346,-0.285714285714286,14,NA,NA,NA,NA,NA,NA,0.0216450216450216
"Arctic","Atqasuk",70.4691667,-157.3994444,167,57500,0.964071856287425,NA,0.221556886227545,1,NA,NA,NA,NA,NA,57.39,0.343652694610778,0.0838323353293413
"Alaska Peninsula and Aleutian Islands","Attu Station",NA,NA,15,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Badger",64.8,-147.5333333,19830,77384,0.101613716591024,NA,0.0733232476046394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctic","Utqiaġvik",71.2905556,-156.7886111,4316,78804,0.669369786839666,0.955595831445401,0.139481000926784,3,NA,2014,23.9,68.7,10.77441,5753.13,1.33297729379055,0.0713623725671918
"Cook Inlet","Bear Creek",60.1641667,-149.395,1389,82788,0.128869690424766,NA,0.107991360691145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Beaver",66.3594444,-147.3963889,46,24000,1,-0.303030303030303,0.282608695652174,NA,NA,2011,44,100,154.3921,NA,NA,0.41304347826087
"Cook Inlet","Beluga",61.1411111,-151.0827778,5,NA,0.4,NA,0.4,NA,NA,2006,85.7,92.9,87.6,NA,NA,0.6
"Kuskokwim","Bethel",60.7922222,-161.7558333,6365,77631,0.669599371563236,0.779921700223714,0.13197172034564,0.124137931034483,21,2012,52.1,90.3,68.75323,494.11,0.0776292223095051,0.143126472898665
"Yukon","Bettles",66.9188889,-151.5161111,36,68125,0.25,NA,0,NA,NA,2011,12.5,37.5,4.2365,62.16,1.72666666666667,0.0277777777777778
"Yukon","Big Delta",64.1525,-145.8422222,577,80250,0.0329289428076256,1.02456140350877,0.102253032928943,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Big Lake",61.5213889,-149.9544444,3552,68875,0.124718468468468,7.66341463414634,0.110923423423423,9,21.5,NA,NA,NA,NA,9187.14,2.58646959459459,0.304335585585586
"Yukon","Birch Creek",66.2590355,-145.8190168,3,NA,1,-0.90625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norton Sound","Brevig Mission",65.3347222,-166.4891667,417,33958,0.992805755395683,2.02173913043478,0.537170263788969,NA,NA,2006,64.5,66.1,89.25233,NA,NA,0.0431654676258993
"Kotzebue","Buckland",65.9797222,-161.1230556,616,44750,0.974025974025974,2.48022598870056,0.233766233766234,2,NA,2003,38.55422,65.06024,58.73017,0,0,0.0665584415584416
"Cook Inlet","Buffalo Soapstone",NA,NA,836,67321,0.123205741626794,NA,0.0538277511961723,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Butte",61.5422222,-149.0333333,3905,77750,0.0581306017925736,NA,0.102176696542894,NA,NA,NA,NA,NA,NA,NA,NA,0.000256081946222791
"Yukon","Cantwell",63.3916667,-148.9508333,204,55313,0.166666666666667,1.29213483146067,0.0833333333333333,1,NA,2012,27.2,70.9,15.18136,325.69,1.59651960784314,0.558823529411765
"Yukon","Central",65.5725,-144.8030556,42,21250,0.0714285714285714,0.166666666666667,0.0714285714285714,NA,NA,NA,NA,NA,NA,97.13,2.31261904761905,0.547619047619048
"Yukon","Chalkyitsik",66.6544444,-143.7222222,120,32500,0.875,0.2,0.316666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.225
"Cook Inlet","Chase",62.4491667,-150.1016667,8,NA,0,NA,0,NA,NA,2012,68.7,93.7,44.76698,NA,NA,NA
"Kuskokwim","Chefornak",60.16,-164.2658333,507,53333,0.970414201183432,1.20434782608696,0.153846153846154,-0.4,26,NA,NA,NA,NA,NA,NA,0.0690335305719921
"Yukon","Chena Ridge",NA,NA,5744,92405,0.110376044568245,NA,0.0468314763231198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prince William Sound","Chenega",60.0663707,-148.012387,51,13333,0.823529411764706,NA,0.549019607843137,NA,NA,2014,50,90,126.7691,NA,NA,NA
"Yukon","Chevak",61.5277778,-165.5863889,1194,41417,0.896147403685092,1.56223175965665,0.323283082077052,1,NA,NA,NA,NA,NA,40.62,0.0340201005025126,0.092964824120603
"Cook Inlet","Chickaloon",61.7966667,-148.4627778,258,41406,0.0697674418604651,NA,0.170542635658915,NA,NA,1982,50,66.7,38.53,1369.03,5.30631782945736,0.151162790697674
"Yukon","Chicken",64.0733333,-141.9361111,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,NA,Inf
"Chignik","Chignik",56.2952778,-158.4022222,40,46250,0.575,-0.775280898876405,0,0.8,12.5,NA,NA,NA,NA,NA,NA,1.325
"Chignik","Chignik Lagoon",56.3084393,-158.5302391,59,81250,0.76271186440678,0.229166666666667,0.0508474576271186,2.28571428571429,9,2011,75,95,158.1426,NA,NA,0.88135593220339
"Chignik","Chignik Lake",56.2555556,-158.7625,71,36750,0.943661971830986,-0.485507246376812,0.0704225352112676,-0.333333333333333,18,2011,81.8,100,194.0189,NA,NA,0.535211267605634
"Kodiak","Chiniak",57.6319444,-152.1825,0,NA,NA,NA,NA,3,NA,1982,94.1,100,73.62,40.62,Inf,Inf
"Yukon","Chisana",62.0661111,-142.0408333,0,NA,NA,NA,NA,NA,NA,1987,33.3,83.3,3.54,NA,NA,NA
"Copper River","Chistochina",62.5717828,-144.6541704,69,NA,0.826086956521739,0.254545454545455,0.188405797101449,NA,NA,2009,51.8,85.1,94.21843,NA,NA,NA
"Copper River","Chitina",61.5158333,-144.4369444,76,NA,0.473684210526316,0.80952380952381,0.0657894736842105,-0.5,18,2012,63,93.4,191.5856,40.92,0.538421052631579,0.973684210526316
"Kuskokwim","Chuathbaluk",61.5719444,-159.245,109,35417,0.917431192660551,0.0380952380952381,0.486238532110092,NA,NA,2009,66.66666,96.66666,158.9823,NA,NA,0.174311926605505
"Yukon","Circle",65.8255556,-144.0605556,116,16667,0.681034482758621,0.432098765432099,0.603448275862069,NA,NA,NA,NA,NA,NA,NA,NA,0.258620689655172
"Cook Inlet","Clam Gulch",60.2311111,-151.3936111,198,39769,0.0606060606060606,2.96,0.0909090909090909,1.33333333333333,11.5,NA,NA,NA,NA,1936.3,9.77929292929293,0.686868686868687
"Bristol Bay","Clarks Point",58.8441667,-158.5508333,47,21875,0.829787234042553,-0.40506329113924,0.553191489361702,-0.590909090909091,23,2008,100,100,637.1648,NA,NA,0.531914893617021
"Southeast","Coffman Cove",56.0138889,-132.8277778,180,52083,0.0277777777777778,-0.0673575129533679,0.0666666666666667,4,NA,1998,82,94,63.35,NA,NA,0.7
"Cook Inlet","Cohoe",60.3686111,-151.3063889,1321,63929,0.0696442089326268,NA,0.149886449659349,-1,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska Peninsula and Aleutian Islands","Cold Bay",55.1858333,-162.7211111,60,70000,0.216666666666667,-0.736842105263158,0,1,3,NA,NA,NA,NA,0,0,0.983333333333333
"Yukon","Coldfoot",67.2563889,-150.1841667,41,NA,0.0487804878048781,NA,0.24390243902439,NA,NA,2011,NA,25,NA,NA,NA,0.219512195121951
"Yukon","College",64.8569444,-147.8027778,14372,86796,0.139437795713888,2.5547860499629,0.0413999443362093,-1,NA,NA,NA,NA,NA,NA,NA,6.95797383801837e-05
"Cook Inlet","Cooper Landing",60.49,-149.8341667,489,66167,0.0511247443762781,3.21551724137931,0.100204498977505,3,6,1990,61.6,85.8,39.45,524.22,1.0720245398773,0.566462167689162
"Copper River","Copper Center",61.9769598,-145.3297294,335,43125,0.432835820895522,0.572769953051643,0.0447761194029851,0.333333333333333,18,2010,63.7,90,129.2549,546.83,1.63232835820896,1.2089552238806
"Prince William Sound","Cordova",60.5427778,-145.7575,3047,107771,0.130948473908763,0.621607237892496,0.0416803413193305,-0.297008547008547,17,2014,70,90,43.82158,174.41,0.0572399081063341,0.532655070561208
"Southeast","Covenant Life",59.4172222,-136.025,143,34049,0.0629370629370629,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Craig",55.4763889,-133.1483333,1257,62500,0.309466984884646,1.38519924098672,0.166268894192522,0.652777777777778,15,1997,69.4,88.4,64.61,41.93,0.033357199681782,0.820206841686555
"Kuskokwim","Crooked Creek",61.87,-158.1108333,65,NA,0.861538461538462,-0.398148148148148,0.384615384615385,NA,NA,2009,75.75758,90.90909,171.0632,NA,NA,0.646153846153846
"Cook Inlet","Crown Point",60.4222222,-149.3666667,108,55714,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kotzebue","Deering",66.0755556,-162.7172222,150,43750,0.986666666666667,0,0.133333333333333,-0.333333333333333,33.5,1994,75.7,94.6,183.1,NA,NA,0.133333333333333
"Yukon","Delta Junction",64.0377778,-145.7322222,1050,76667,0.0295238095238095,0.111111111111111,0.111428571428571,16,-21.5,NA,NA,NA,NA,31648.29,30.1412285714286,1.57904761904762
"Yukon","Deltana",NA,NA,2409,75250,0.0099626400996264,NA,0.099626400996264,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Denali Park",63.7327778,-148.9141667,619,67292,0.061389337641357,NA,0.193861066235864,NA,NA,2015,37.7,78.3,25.66195,3199.19,5.16831987075929,0.0484652665589661
"Cook Inlet","Diamond Ridge",59.6761111,-151.5575,1201,78553,0.0507910074937552,NA,0.0549542048293089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Bay","Dillingham",59.0397222,-158.4575,2296,71146,0.648954703832753,0.468969929622521,0.0884146341463415,-0.125560538116592,16,2010,70.39784,91.17518,130.5829,74,0.0322299651567944,0.525261324041812
"Kotzebue","Diomede",65.7581,-168.952,55,18333,1,-0.60431654676259,0.527272727272727,NA,NA,NA,NA,NA,NA,NA,NA,0.0181818181818182
"Yukon","Dot Lake",63.6613889,-144.0644444,0,NA,NA,-1,NA,1,NA,2011,42.85714,100,44.16406,NA,NA,Inf
"Yukon","Dot Lake Village",63.6508333,-144.0438889,65,30000,0.8,NA,0.184615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Dry Creek",63.6533333,-144.6652778,91,40781,0,NA,0.0549450549450549,NA,NA,2011,3.703704,100,17.22854,NA,NA,NA
"Yukon","Eagle",64.7880556,-141.2,84,NA,0.0476190476190476,-0.236363636363636,0.285714285714286,-1,NA,NA,NA,NA,NA,38.85,0.4625,0.642857142857143
"Yukon","Eagle Village",64.7805556,-141.1136111,21,48750,0.523809523809524,-0.611111111111111,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,0.0476190476190476
"Southeast","Edna Bay",55.9488889,-133.6622222,0,NA,NA,NA,NA,11,NA,1998,100,100,54.62,NA,NA,Inf
"Kuskokwim","Eek",60.2188889,-162.0244444,472,43750,0.980932203389831,1.07017543859649,0.222457627118644,-0.0697674418604651,9,2013,54.7,92.2,71.48791,40.62,0.0860593220338983,0.207627118644068
"Bristol Bay","Egegik",58.2155556,-157.3758333,80,NA,0.325,0.0666666666666667,0.1875,-0.796296296296296,23,2014,80,90,143.4931,NA,NA,0.35
"Yukon","Eielson AFB",NA,NA,2826,57054,0.0290162774239207,-0.459862385321101,0.0364472753007785,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bristol Bay","Ekwok",59.3497222,-157.4752778,79,32500,0.962025316455696,0.025974025974026,0.291139240506329,-0.8125,25,1987,65.5,89.7,456.18,NA,NA,0.620253164556962
"Southeast","Elfin Cove",58.1944444,-136.3433333,26,112500,0.307692307692308,-0.0714285714285714,0,-0.105263157894737,25,1987,100,100,80.52,NA,NA,1.61538461538462
"Norton Sound","Elim",64.6175,-162.2605556,300,36875,0.98,0.421800947867299,0.28,-0.340909090909091,2.5,2006,94.2,96.1,211.9534,NA,NA,0.0866666666666667
"Yukon","Emmonak",62.7777778,-164.5230556,808,43594,0.969059405940594,0.425044091710758,0.267326732673267,-0.0467289719626168,11.5,2008,70.6,96.3,191.5195,NA,NA,0.318069306930693
"Yukon","Ester",64.8472222,-148.0144444,2727,69076,0.0517051705170517,17.3020134228188,0.0293362669600293,NA,NA,NA,NA,NA,NA,5183.12,1.90066740007334,0.0909424275760909
"Copper River","Eureka Roadhouse",61.9386111,-147.1680556,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Evansville",66.9227778,-151.5080556,11,26250,0.818181818181818,-0.882978723404255,0,NA,NA,2011,7.692307,61.53846,7.36722,NA,NA,NA
"Southeast","Excursion Inlet",58.4213889,-135.4366667,53,NA,0.169811320754717,NA,0.0943396226415094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Fairbanks",64.8377778,-147.7163889,32578,56306,0.112437841488121,0.438639876352396,0.10820185401191,1.02439024390244,17,NA,NA,NA,NA,205314.84,6.30225428203082,0.515439867395175
"Alaska Peninsula and Aleutian Islands","False Pass",54.8508333,-163.415,64,51563,0.546875,-0.0857142857142857,0.03125,-0.727272727272727,30.5,1988,65,100,193.15,NA,NA,0.390625
"Yukon","Farmers Loop",NA,NA,4517,100518,0.0777064423289794,NA,0.0830197033429267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Farm Loop",NA,NA,1119,88125,0.0455764075067024,NA,0.0250223413762288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Ferry",64.0166667,-149.1166667,6,NA,0,NA,1,NA,NA,2015,57.1,78.6,63.45978,NA,NA,NA
"Cook Inlet","Fishhook",NA,NA,5866,95030,0.0465393794749403,NA,0.0492669621547903,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Flat",62.4536111,-158.0075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Fort Greely",NA,NA,253,NA,0.0474308300395257,-0.84525993883792,0,NA,NA,NA,NA,NA,NA,1396.67,5.5204347826087,1.08300395256917
"Yukon","Fort Yukon",66.5647222,-145.2738889,568,39286,0.911971830985915,-0.0823909531502423,0.253521126760563,1,NA,1987,44.5,97.2,607.77,38.85,0.0683978873239437,0.246478873239437
"Yukon","Four Mile Road",NA,NA,4,NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Fox",64.9580556,-147.6183333,403,NA,0.0471464019851117,2.27642276422764,0,NA,NA,NA,NA,NA,NA,NA,NA,0.00248138957816377
"Cook Inlet","Fox River",59.8583333,-150.9583333,625,51250,0,NA,0.1824,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Fritz Creek",59.7361111,-151.2952778,2043,67969,0.0259422418012726,5.76490066225166,0.120900636319139,11,NA,NA,NA,NA,NA,NA,NA,0.0465002447381302
"Cook Inlet","Funny River",60.5019444,-150.7622222,972,71071,0.0473251028806584,NA,0.36522633744856,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Copper River","Gakona",62.3019444,-145.3019444,166,60625,0.27710843373494,0.908045977011494,0.174698795180723,4,20,2012,73.8,92.8,95.94261,360.73,2.17307228915663,0.951807228915663
"Yukon","Galena",64.7333333,-156.9275,524,70536,0.595419847328244,-0.315032679738562,0.0877862595419847,-0.4,28,2010,46.25,75,118.7307,117.13,0.223530534351145,0.326335877862595
"Norton Sound","Gambell",63.7797222,-171.7411111,690,31667,0.92463768115942,0.550561797752809,0.430434782608696,NA,NA,NA,NA,NA,NA,NA,NA,0.0101449275362319
"Southeast","Game Creek",58.0566667,-135.5077778,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Gateway",61.5727778,-149.2408333,6061,91538,0.107078039927405,NA,0.0780399274047187,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook Inlet","Glacier View",NA,NA,220,55417,0.0772727272727273,NA,0.0545454545454545,NA,NA,1982,46.7,76.7,16.68,NA,NA,0.00909090909090909
"Copper River","Glennallen",62.1091667,-145.5463889,192,19073,0.0364583333333333,-0.62426614481409,0,3,-2,2013,45.4,84.4,56.97443,1199.75,6.24869791666667,2.91145833333333
"Yukon","Goldstream",NA,NA,3960,83599,0.0454545454545455,NA,0.0404040404040404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norton Sound","Golovin",64.5433333,-163.0291667,132,33750,0.939393939393939,0.517241379310345,0.318181818181818,-0.235294117647059,-3,2012,72.7,100,92.83752,NA,NA,0.212121212121212
"Kuskokwim","Goodnews Bay",59.1188889,-161.5875,216,28125,0.990740740740741,0.285714285714286,0.398148148148148,-0.243243243243243,7,NA,NA,NA,NA,NA,NA,0.175925925925926
"Yukon","Grayling",62.9036111,-160.0647222,165,25938,1,-0.210526315789474,0.351515151515152,5,19,2011,68.29,100,121.8611,NA,NA,0.327272727272727
"Copper River","Gulkana",62.2713889,-145.3822222,74,NA,0.851351351351351,-0.288461538461538,0.189189189189189,NA,NA,2013,44.8,89.6,91.68707,NA,NA,NA
"Southeast","Gustavus",58.4133333,-135.7369444,472,57019,0.108050847457627,3.81632653061224,0.0550847457627119,2.125,26.5,1987,73.7,91.8,55.2,NA,NA,0.752118644067797
"Southeast","Haines",59.228589,-135.444114,1838,69292,0.108813928182807,0.850956696878147,0.0533188248095756,0.396825396825397,10,2012,63.6,91.7,46.6,288.58,0.157007616974973,0.489662676822633
"Cook Inlet","Halibut Cove",59.595,-151.225,36,95179,0.5,-0.234042553191489,0,-0.2,25.5,NA,NA,NA,NA,NA,NA,0.666666666666667
"Cook Inlet","Happy Valley",59.9472222,-151.7322222,636,40694,0.0880503144654088,NA,0.165094339622642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Harding-Birch Lakes",NA,NA,125,46250,0.032,NA,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Healy",63.8569444,-148.9661111,1115,101136,0.0331838565022422,2.33832335329341,0.0807174887892377,2,NA,2014,33.9,67.7,9.308605,4417.51,3.96189237668161,0.386547085201794
"Yukon","Healy Lake",63.9872308,-144.6998325,3,NA,1,-0.909090909090909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Hobart Bay",57.4658333,-133.3533333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Hollis",55.5566667,-132.6363889,76,NA,0.368421052631579,NA,0.197368421052632,NA,NA,1998,60.9,80.4,39.74,65,0.855263157894737,0.0263157894736842
"Yukon","Holy Cross",62.1994444,-159.7713889,216,35750,0.935185185185185,-0.103734439834025,0.157407407407407,-0.583333333333333,4,1990,64.10256,NA,121.1816,40.62,0.188055555555556,0.236111111111111
"Cook Inlet","Homer",59.6425,-151.5483333,5418,57471,0.0998523440383906,1.45269352648257,0.0956072351421189,4.06730769230769,5,1982,54.3,86.7,19.88,34816.86,6.42614617940199,0.942045035068291
"Southeast","Hoonah",58.11,-135.4436111,774,59167,0.536175710594315,0.138235294117647,0.149870801033592,-0.20952380952381,16,2012,60.7,88.5,72,NA,NA,0.631782945736434
"Yukon","Hooper Bay",61.5311111,-166.0966667,1114,37000,0.958707360861759,0.776714513556619,0.459605026929982,-0.285714285714286,28,NA,NA,NA,NA,36.72,0.0329622980251347,0.149012567324955
"Cook Inlet","Hope",60.9202778,-149.6402778,55,NA,0,-0.466019417475728,0,2,32.5,1990,60.5,90.3,50.05,430.85,7.83363636363636,1.6
"Cook Inlet","Houston",61.6302778,-149.8180556,2028,52500,0.130177514792899,4.48108108108108,0.141518737672584,1,NA,NA,NA,NA,NA,2121.23,1.04597140039448,0.13905325443787
"Yukon","Hughes",66.0488889,-154.2555556,83,37813,0.879518072289157,0.136986301369863,0.228915662650602,1,NA,2014,19.2,57.7,157.1278,NA,NA,0.240963855421687
"Yukon","Huslia",65.6986111,-156.3997222,435,38125,0.917241379310345,1.31382978723404,0.255172413793103,NA,NA,1983,44.6,NA,554.51,175.49,0.403425287356322,0.204597701149425
"Southeast","Hydaburg",55.2080556,-132.8266667,291,31500,0.859106529209622,-0.023489932885906,0.243986254295533,-0.675,14.5,2012,72.9,100,214.4,320.72,1.10213058419244,0.350515463917526
"Southeast","Hyder",55.9169444,-130.0247222,0,NA,NA,-1,NA,1,NA,1987,54.5,66.7,121.24,NA,NA,Inf
"Bristol Bay","Igiugig",59.3277778,-155.8947222,47,46875,0.893617021276596,0.424242424242424,0.0425531914893617,0.333333333333333,3.5,2005,91.7,100,205.2,NA,NA,0.702127659574468
"Bristol Bay","Iliamna",59.7567965,-154.9110837,86,72083,0.720930232558139,-0.0851063829787234,0.151162790697674,-0.5,13,2004,100,100,370.1,40.62,0.472325581395349,1.75581395348837
"Chignik","Ivanof Bay",55.9,-159.4833333,0,NA,NA,-1,NA,-1,NA,1989,100,100,186.59,NA,NA,NA
"Southeast","Juneau",58.3019444,-134.4197222,32524,87436,0.170335752060017,0.665505940188447,0.0727155331447546,0.0282685512367491,15,NA,NA,NA,NA,51554.95,1.58513559217808,0.277610380027057
"Cook Inlet","Kachemak",NA,NA,537,75000,0.0949720670391061,0.332506203473945,0.0782122905027933,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Kake",56.9758333,-133.9472222,627,48500,0.771929824561403,0.12972972972973,0.191387559808612,-0.319148936170213,12.5,1996,61.6,98.6,43.64,0,0,0.347687400318979
"Arctic","Kaktovik",70.1319444,-143.6238889,166,53750,0.94578313253012,0.00606060606060606,0.036144578313253,NA,NA,1992,8.5,25.5,0.54,157.17,0.946807228915663,0.0843373493975904
"Cook Inlet","Kalifornsky",60.4183333,-151.29,8015,77756,0.0764815970056145,86.1195652173913,0.0859638178415471,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Kaltag",64.3272222,-158.7219444,152,25417,0.940789473684211,-0.384615384615385,0.164473684210526,0.166666666666667,2,1985,NA,NA,665.4,NA,NA,0.144736842105263
"Kodiak","Karluk",57.5719444,-154.4555556,45,NA,1,-0.53125,0.333333333333333,-1,NA,1991,100,100,192.21,NA,NA,0.422222222222222
"Southeast","Kasaan",55.5388889,-132.4008333,93,58750,0.483870967741935,2.72,0.021505376344086,NA,NA,1998,50,92.9,93.42,NA,NA,0.0967741935483871
"Kuskokwim","Kasigluk",60.8955556,-162.5180556,635,40625,1,NA,0.390551181102362,-0.162162162162162,12.5,NA,NA,NA,NA,NA,NA,0.0488188976377953
"Cook Inlet","Kasilof",60.3375,-151.2744444,407,53859,0.0221130221130221,1.02487562189055,0.0221130221130221,2.54285714285714,11.5,NA,NA,NA,NA,21229.04,52.1598034398034,3.00737100737101
"Cook Inlet","Kenai",60.5544444,-151.2583333,7551,58732,0.177327506290558,0.746299722479186,0.131240895245663,0.0591133004926108,19,1993,66.3,89.1,38.73,70142.4,9.28915375446961,0.741226327638723
"Copper River","Kenny Lake",61.7191667,-144.9483333,161,NA,0.335403726708075,NA,0.335403726708075,NA,NA,2012,56.4,85,93.61219,NA,NA,0.0062111801242236
"Southeast","Ketchikan",55.3422222,-131.6461111,8189,53937,0.212480156307241,0.137677132536816,0.132861155208206,-0.118959107806691,12,NA,NA,NA,NA,30347.49,3.70588472340945,0.658932714617169
"Kotzebue","Kiana",66.975,-160.4227778,342,41786,0.93859649122807,-0.00869565217391304,0.345029239766082,-0.5,24.5,2006,62.3,85.7,84.8,71.28,0.208421052631579,0.172514619883041
"Alaska Peninsula and Aleutian Islands","King Cove",55.0616667,-162.3102778,1080,72679,0.42962962962963,1.34782608695652,0.142592592592593,-0.333333333333333,13,1992,82.7,96,136.78,NA,NA,0.197222222222222
"Bristol Bay","King Salmon",58.6883333,-156.6613889,343,94167,0.230320699708455,-0.370642201834862,0.0991253644314869,0,18,2007,77.55102,85.71429,255.7254,NA,NA,1.04956268221574
